tau1	tau2	tau3	tau4	p1	p2	p3	p4	g1	g2	g3	g4
3.93195	9.18089	6.06448	6.29215	5.364	-1.69508	-1.88027	-1.78864	0.837264	0.611781	0.210692	0.697465
8.67689	5.58333	4.9254	7.35621	2.82825	-1.39673	-0.92929	-0.502226	0.595003	0.983651	0.245571	0.454155
7.38318	5.25317	0.924517	0.744899	3.9761	-1.42922	-1.42495	-1.12193	0.425514	0.561166	0.139627	0.0767507
4.54183	1.96986	8.51319	7.56204	4.36283	-1.62641	-1.76173	-0.97469	0.409785	0.121397	0.165888	0.457982
5.97319	6.04312	5.99604	1.07694	3.82822	-0.989549	-1.07903	-1.75964	0.350475	0.128154	0.548861	0.503974
7.25335	7.73352	1.62109	7.89061	3.56724	-1.37785	-1.44953	-0.739853	0.936087	0.927722	0.824222	0.100472
6.19248	2.53388	1.66238	5.16392	3.46239	-1.35595	-1.43285	-0.673593	0.168277	0.408495	0.328541	0.253586
5.89569	1.0963	1.31173	8.77787	4.06917	-1.06314	-1.37443	-1.6316	0.867791	0.141839	0.343262	0.711899
0.727077	6.42555	6.26909	0.786911	2.91318	-1.18787	-0.687735	-1.03758	0.471442	0.0613288	0.221905	0.647617
1.80782	7.02036	6.67693	5.16965	3.67229	-1.18847	-0.819164	-1.66465	0.127658	0.160127	0.171724	0.838404
9.03415	1.07163	5.47834	9.41252	3.40514	-1.16325	-1.65395	-0.587932	0.253609	0.77867	0.287026	0.221631
4.4779	2.15958	3.5769	1.79585	2.95177	-1.54037	-0.882205	-0.529198	0.702599	0.397861	0.785096	0.64363
3.43255	0.944068	3.32477	7.73536	4.13462	-1.49595	-1.39869	-1.23999	0.408974	0.392226	0.330909	0.655999
4.78071	8.45334	2.75519	4.24979	4.1121	-1.15416	-1.1584	-1.79954	0.0633622	0.987507	0.791912	0.292634
9.93605	4.40654	6.82548	4.85514	4.14953	-0.962997	-1.49165	-1.69489	0.955618	0.787557	0.667852	0.637186
3.6991	7.88069	8.29124	2.37124	3.37418	-0.590452	-1.57917	-1.20456	0.275613	0.0821056	0.662143	0.0616653
9.85346	7.18102	1.68908	1.70549	2.38858	-0.676758	-0.510618	-1.20121	0.953621	0.657752	0.788264	0.0826596
7.21297	3.81572	8.86621	6.51776	2.7964	-1.65246	-0.547151	-0.596784	0.417993	0.058523	0.578286	0.314434
9.65992	5.01212	0.791175	7.43724	3.88658	-1.68225	-1.06991	-1.13441	0.354385	0.778999	0.315034	0.638421
2.4822	2.9844	4.93379	1.89181	2.6218	-0.910373	-0.847904	-0.863527	0.316414	0.598836	0.263953	0.888316
1.49219	9.79709	2.55281	7.1947	3.84899	-1.85149	-1.41404	-0.583463	0.799482	0.654333	0.321638	0.26879
8.23422	8.83526	1.59935	7.6204	3.98096	-1.65466	-0.600066	-1.72624	0.81215	0.143851	0.980109	0.654095
4.8619	6.14535	8.81162	9.24213	3.00518	-1.58959	-0.814255	-0.601333	0.223498	0.148034	0.687916	0.903222
4.04407	8.73797	0.896589	8.46201	3.54305	-1.65227	-0.583774	-1.30701	0.777572	0.45266	0.537568	0.755848
4.13059	6.0021	1.65517	1.54877	2.82288	-1.14775	-1.01537	-0.65976	0.783161	0.705586	0.364066	0.617826
3.86653	2.68585	8.28929	4.76699	3.96143	-0.763483	-1.96519	-1.23276	0.781653	0.832337	0.862933	0.238282
9.2347	5.40756	3.7616	5.17247	2.72817	-0.550408	-1.55388	-0.62388	0.625207	0.0894221	0.0720081	0.172636
8.39405	5.74869	1.97253	5.56857	3.3691	-0.664045	-1.34932	-1.35573	0.782084	0.367549	0.218639	0.133182
4.35222	4.95952	7.12966	3.80155	4.27731	-1.55142	-1.2169	-1.50899	0.799212	0.626341	0.760879	0.50488
7.6608	1.30032	7.64644	6.77836	3.6613	-1.31537	-1.82601	-0.519922	0.548837	0.179855	0.528382	0.722353
9.81813	0.511597	8.58899	5.26007	3.39564	-1.10786	-1.47868	-0.809102	0.931287	0.599963	0.291643	0.384295
0.504014	1.14209	6.65143	4.52723	4.32816	-1.74832	-1.82356	-0.756275	0.129388	0.225295	0.312797	0.658454
6.58774	8.55278	6.71696	7.91741	3.8887	-1.41624	-0.752604	-1.71985	0.543917	0.584776	0.970893	0.727172
9.28575	1.05225	3.34455	8.79104	3.42464	-0.989738	-0.693916	-1.74099	0.890949	0.179389	0.704158	0.706239
5.15021	6.97038	9.90406	1.08483	4.27491	-1.56209	-1.07972	-1.63311	0.690585	0.682393	0.808118	0.481229
6.74521	3.12712	3.92717	7.75799	3.40846	-0.846231	-0.688377	-1.87385	0.757867	0.832286	0.379494	0.242669
4.7298	8.43474	2.20728	9.00114	4.20886	-1.89462	-0.984437	-1.32981	0.529685	0.396812	0.580841	0.979086
9.97041	5.96858	2.34262	3.08352	3.77211	-1.54606	-0.96477	-1.26128	0.427142	0.972375	0.387368	0.903836
2.91805	1.49279	8.63438	3.28981	3.92882	-1.58077	-0.735709	-1.61234	0.315826	0.817872	0.762099	0.278033
4.98525	5.31631	2.62323	6.90793	3.54006	-0.54227	-1.84974	-1.14805	0.955232	0.161374	0.318092	0.953997
7.47637	5.71141	7.38255	9.37752	2.84413	-1.05923	-0.69368	-1.09121	0.171156	0.511484	0.835335	0.519007
3.98985	9.54599	1.21914	7.35446	3.9651	-0.587259	-1.5457	-1.83214	0.442928	0.612155	0.304397	0.199837
4.55762	4.31133	5.61384	9.25962	3.85207	-1.06327	-0.950833	-1.83797	0.975159	0.957579	0.386146	0.515685
4.61454	1.45149	1.44264	5.04185	4.48208	-1.69426	-1.31166	-1.47616	0.629163	0.19815	0.148454	0.386784
5.34141	7.43879	7.63659	3.31298	4.36683	-1.87614	-1.11485	-1.37585	0.378846	0.896404	0.47803	0.734625
9.64539	7.90324	8.77308	5.98364	3.87288	-1.77956	-1.29956	-0.793748	0.944564	0.658796	0.109069	0.479168
9.85505	5.02948	4.65998	8.81389	4.77839	-1.96336	-1.50983	-1.3052	0.189802	0.912171	0.994393	0.674177
6.12685	2.46205	5.59313	1.74164	3.65402	-1.27482	-1.28783	-1.09137	0.568604	0.575	0.293683	0.696036
6.51251	1.07005	3.42184	7.39014	3.74277	-1.506	-1.17525	-1.06153	0.80361	0.633888	0.745796	0.780903
4.77901	6.96474	5.56731	5.55194	2.98654	-1.40493	-0.573671	-1.00793	0.380299	0.1879	0.457857	0.376602
5.95227	3.26456	7.97358	9.4398	3.96363	-1.28941	-1.42742	-1.24679	0.120052	0.0991265	0.145885	0.138765
4.02052	0.970733	3.61172	3.07737	3.49563	-0.819446	-0.965344	-1.71084	0.566963	0.738087	0.919892	0.435358
8.89223	2.77043	4.12793	8.72957	4.85312	-1.83072	-1.67777	-1.34463	0.196657	0.21301	0.722704	0.799247
8.13734	6.54186	0.95255	7.27339	3.6007	-1.19846	-0.674148	-1.72809	0.459143	0.92565	0.0687467	0.352389
9.39514	2.29623	7.4472	3.30495	3.68221	-1.05889	-1.34779	-1.27553	0.630439	0.348798	0.0593324	0.829696
2.93604	3.84993	0.637753	9.26565	3.46047	-1.525	-1.38396	-0.551507	0.745967	0.903324	0.0813263	0.737205
6.87165	8.82891	0.813569	2.22967	3.83904	-1.79679	-0.808432	-1.23382	0.976099	0.548752	0.313013	0.102243
9.20591	8.75065	1.22716	9.28468	4.46287	-1.74876	-0.738004	-1.97611	0.104626	0.584213	0.213716	0.738964
4.61927	2.94415	9.97102	1.68179	3.74397	-1.13431	-1.18131	-1.42835	0.367215	0.0969924	0.917106	0.52363
9.03128	5.50105	4.79672	1.10835	5.04338	-1.84189	-1.48244	-1.71905	0.880337	0.33744	0.586956	0.822864
2.3793	1.54193	7.17215	1.82813	3.69993	-0.863773	-1.57641	-1.25975	0.879388	0.971655	0.715599	0.961136
2.85568	9.97266	4.77725	7.90244	3.99687	-1.17548	-1.27611	-1.54528	0.841682	0.630222	0.220857	0.82576
9.28068	8.86156	4.59996	8.22811	4.72783	-1.27081	-1.4611	-1.99591	0.902334	0.227856	0.95199	0.823739
9.65279	8.38975	5.123	0.889502	3.28215	-0.586542	-1.42412	-1.27149	0.866631	0.660595	0.945602	0.988648
1.55703	8.97573	9.89807	7.30349	4.10377	-0.671335	-1.84732	-1.58511	0.89036	0.0616309	0.684872	0.488867
9.80032	3.37202	5.05658	6.08955	4.08755	-0.749788	-1.50244	-1.83532	0.280767	0.351242	0.450951	0.809877
1.04769	7.95768	9.28694	6.70661	4.27535	-1.08279	-1.83918	-1.35338	0.417332	0.811116	0.834102	0.758617
8.38049	4.63028	2.33436	4.93414	2.42699	-0.665381	-0.952139	-0.809471	0.56068	0.153219	0.368768	0.22606
7.34437	8.52559	6.80352	2.91551	3.02821	-1.01834	-0.754597	-1.25527	0.763529	0.910002	0.975814	0.146971
3.33338	6.11651	9.38111	9.23955	3.13474	-1.37276	-0.89574	-0.866243	0.22501	0.0785711	0.486137	0.260964
9.99305	3.08105	3.46221	4.39253	3.94622	-1.40303	-1.45029	-1.0929	0.514884	0.420769	0.896527	0.0538995
5.47752	2.01908	8.53565	4.60474	2.6998	-0.696132	-0.646468	-1.35719	0.241246	0.889475	0.190991	0.866729
0.630116	1.49137	3.4568	5.00621	4.55881	-1.97332	-1.98816	-0.597328	0.304361	0.296415	0.222007	0.177922
7.15814	6.86998	2.7894	5.59929	3.26545	-1.98493	-0.703313	-0.577208	0.86399	0.455873	0.893917	0.626653
0.867088	2.80053	9.07275	5.53639	4.22869	-1.23514	-1.03781	-1.95574	0.752231	0.62318	0.608408	0.363985
9.57929	3.62084	6.80196	7.49628	3.66952	-1.19796	-1.46523	-1.00633	0.724927	0.716153	0.945275	0.653023
9.45598	4.62591	7.23691	1.64323	4.52854	-1.8681	-1.95429	-0.706148	0.631937	0.671989	0.858869	0.600091
6.84901	3.48193	2.61149	1.83996	4.48308	-1.89658	-1.8832	-0.703293	0.226247	0.707803	0.562514	0.805963
1.22815	2.09597	3.77728	8.2287	3.97794	-1.40504	-1.44872	-1.12419	0.934311	0.281121	0.380577	0.158626
4.91395	8.07752	5.16109	6.17408	3.64199	-1.06198	-1.73021	-0.8498	0.353256	0.31333	0.534617	0.364862
4.91356	6.25718	1.2177	2.27479	3.11988	-1.33992	-1.01315	-0.766815	0.372587	0.699071	0.222439	0.732106
4.49957	4.82598	0.563291	0.766407	4.53203	-1.63842	-1.87584	-1.01778	0.442323	0.129092	0.350994	0.633642
2.57063	5.44008	4.47663	9.52587	4.72769	-1.75224	-1.12892	-1.84653	0.712696	0.722592	0.140303	0.735467
6.78658	2.366	7.78538	5.46057	2.85497	-1.06802	-1.06801	-0.718933	0.339828	0.218556	0.950419	0.686399
1.83564	3.86491	6.60328	2.67376	3.90884	-1.28652	-0.873916	-1.7484	0.989819	0.192119	0.546717	0.27088
1.95785	4.10711	8.16762	5.00764	3.08518	-1.11658	-1.0296	-0.939004	0.629539	0.984519	0.89743	0.120841
9.41681	0.505372	3.1128	6.0762	3.33291	-1.36158	-1.18983	-0.781501	0.530158	0.968673	0.456118	0.415227
1.53068	1.7014	1.28131	9.89695	2.93154	-0.549812	-1.59524	-0.786487	0.742528	0.123009	0.770045	0.849519
2.95724	7.98937	3.80345	3.53838	4.56133	-1.55863	-1.62046	-1.38224	0.701205	0.646816	0.280255	0.85029
3.37863	4.32928	3.97865	4.49647	3.5909	-1.5957	-0.637057	-1.35814	0.496962	0.136694	0.197504	0.958765
7.9837	5.01392	8.832	1.09641	4.04338	-1.23944	-1.77988	-1.02406	0.798567	0.468872	0.647609	0.953868
5.2764	5.93014	3.82475	2.93577	4.1244	-1.261	-1.40377	-1.45963	0.693814	0.625106	0.412771	0.646784
4.89308	2.64107	5.8667	6.66635	3.15749	-1.06541	-1.52832	-0.563764	0.442708	0.463236	0.0744111	0.0825826
6.84364	6.25808	9.24469	7.94635	4.24408	-1.036	-1.99903	-1.20904	0.394209	0.697321	0.876444	0.345547
6.80908	3.99566	7.92778	2.58631	2.86541	-0.831756	-0.975571	-1.05809	0.469396	0.500462	0.702845	0.858661
8.14788	6.15978	7.17948	2.33209	3.20027	-0.529386	-1.14979	-1.5211	0.230438	0.413463	0.518902	0.643877
6.56404	7.91451	8.44108	4.62849	4.18107	-0.67105	-1.92796	-1.58206	0.660102	0.381958	0.795973	0.932078
6.0616	9.76427	1.6703	2.42633	4.78122	-1.29507	-1.84668	-1.63947	0.501966	0.691037	0.345429	0.872048
2.3831	7.63522	3.94188	3.45834	4.16924	-0.660973	-1.91474	-1.59353	0.515185	0.342666	0.39961	0.506888
1.99984	1.87504	0.844646	9.99745	4.74372	-1.81113	-1.24322	-1.68937	0.934756	0.50254	0.630883	0.651629
4.04564	2.39266	1.20519	5.77832	3.77732	-1.11595	-1.68442	-0.976951	0.331046	0.292931	0.336296	0.93905
8.94043	7.35266	8.2245	8.34826	2.40136	-0.761918	-0.529845	-1.10959	0.674893	0.298823	0.71082	0.877279
3.88855	5.55104	5.85162	3.59133	2.5965	-1.33076	-0.661219	-0.60452	0.457301	0.777536	0.389241	0.0979944
3.85394	4.43375	2.11683	2.97659	3.5418	-0.965987	-0.953002	-1.62282	0.881635	0.303905	0.127745	0.285593
7.96148	3.88103	7.35966	7.01683	3.67534	-0.501581	-1.87643	-1.29733	0.31136	0.366317	0.948552	0.887182
8.75884	6.60299	5.59157	5.42819	3.87206	-1.06767	-0.870845	-1.93355	0.782897	0.839879	0.0500537	0.135779
1.03184	8.84981	1.76383	3.2693	4.62167	-1.0211	-1.9272	-1.67338	0.257258	0.531584	0.643608	0.678749
2.96682	8.99869	4.64533	3.66492	3.7621	-0.839487	-1.52523	-1.39738	0.316939	0.753392	0.683334	0.665817
4.00657	1.20298	9.73135	4.05951	3.93219	-1.08618	-1.67134	-1.17467	0.730522	0.208685	0.357542	0.73265
8.94591	3.84907	4.8444	6.18312	4.75774	-1.44422	-1.48319	-1.83032	0.499327	0.690547	0.994568	0.394152
8.58778	6.44732	1.01407	7.62513	4.26467	-1.40323	-1.66019	-1.20125	0.0878468	0.484454	0.134388	0.364204
5.65269	5.86478	5.27459	7.2338	5.0277	-1.8773	-1.245	-1.9054	0.693477	0.755781	0.487918	0.590666
0.743881	7.43495	4.13099	7.11028	4.23074	-1.30386	-1.23288	-1.694	0.947079	0.460025	0.610534	0.320976
3.14003	3.76204	7.59471	9.62854	3.43138	-0.552155	-0.904724	-1.9745	0.492502	0.240888	0.964005	0.187825
5.69065	5.80638	6.26519	1.15184	5.55622	-1.86653	-1.79282	-1.89687	0.271209	0.721082	0.713273	0.975824
3.37771	2.74721	6.47413	5.18146	4.68445	-1.45033	-1.87044	-1.36369	0.0695015	0.738414	0.357469	0.695367
0.860551	2.25738	3.2236	1.24157	3.63101	-0.874904	-1.88192	-0.874193	0.125027	0.284773	0.58427	0.663447
1.95657	4.90168	4.36097	5.03922	3.40279	-1.30707	-1.52143	-0.574293	0.429169	0.483975	0.569699	0.419303
1.79995	1.15983	1.72881	7.38786	3.07994	-1.28415	-0.909297	-0.886497	0.412937	0.827547	0.116784	0.671237
2.97406	4.00725	9.68244	1.89459	3.70617	-1.61104	-0.646337	-1.44879	0.325169	0.235628	0.177919	0.893719
1.30566	6.83927	7.37664	1.84379	4.40926	-1.77064	-0.94872	-1.6899	0.998709	0.367326	0.311486	0.387281
4.46975	2.99061	4.93998	4.20636	3.9882	-0.92208	-1.4951	-1.57102	0.360947	0.332074	0.117268	0.165047
7.52198	7.03204	1.00039	1.92054	4.4808	-1.49359	-1.65576	-1.33145	0.772431	0.0884127	0.869853	0.434588
9.42068	2.87622	9.76487	2.78602	3.21587	-1.21637	-1.1165	-0.883004	0.826379	0.135888	0.728038	0.399486
3.54845	7.85512	9.38911	9.00967	4.2703	-0.661557	-1.89339	-1.71535	0.753563	0.308921	0.705998	0.231751
7.29873	2.022	2.35023	2.51655	3.45235	-0.584133	-1.45618	-1.41203	0.49532	0.0859145	0.150433	0.633046
6.21917	8.28771	8.98036	6.43187	3.87697	-1.91272	-0.757223	-1.20703	0.0530251	0.765077	0.629174	0.884571
3.17136	0.740373	9.88028	1.14891	5.48282	-1.98423	-1.52842	-1.97017	0.0569417	0.808285	0.907384	0.126884
4.30702	4.06258	6.35282	8.20803	3.98516	-0.969582	-1.24428	-1.7713	0.685535	0.593212	0.4413	0.652074
3.2521	9.25532	0.535666	9.01787	3.46104	-1.77405	-0.643456	-1.04353	0.413852	0.98661	0.174714	0.435269
7.25638	5.42233	3.30271	2.61727	2.72566	-0.602059	-1.25037	-0.873231	0.653467	0.433464	0.949053	0.823971
7.92518	8.51008	4.92627	3.06288	3.11571	-1.04649	-1.07375	-0.995466	0.62455	0.193225	0.420873	0.98124
2.39854	3.72532	7.21731	6.49971	2.71179	-1.22635	-0.677818	-0.807621	0.0545227	0.82205	0.1972	0.926134
2.48047	2.92899	1.47762	1.08999	3.59565	-0.810215	-1.81061	-0.974832	0.90251	0.0749753	0.159084	0.621432
5.36232	4.29036	6.1952	5.46101	4.87326	-1.62799	-1.72212	-1.52316	0.414145	0.440066	0.268721	0.547136
7.51161	7.64028	6.29656	6.67057	4.76307	-1.97996	-1.79551	-0.987602	0.130656	0.363907	0.733239	0.0813966
1.04997	5.62672	6.24232	2.45905	4.00904	-1.84466	-0.527783	-1.6366	0.854849	0.0534091	0.381872	0.355857
5.29782	1.04605	7.11052	7.89676	3.23261	-1.63197	-0.901268	-0.699371	0.466237	0.987988	0.332655	0.952828
0.518872	0.589953	0.851472	4.57551	3.54752	-1.43926	-0.943584	-1.16467	0.726716	0.134152	0.646761	0.239757
9.64644	3.68521	2.97579	7.55645	4.71295	-1.66964	-1.83712	-1.2062	0.814054	0.994186	0.941642	0.662535
3.42789	4.60301	5.52625	1.63685	3.57977	-0.950824	-1.06479	-1.56416	0.813206	0.453782	0.999171	0.815536
1.68781	5.11229	1.85239	1.86505	4.07525	-1.93572	-0.530728	-1.6088	0.338433	0.595937	0.916849	0.222738
6.80016	1.20745	4.32274	1.77299	4.63261	-1.14752	-1.596	-1.88909	0.484777	0.442254	0.735397	0.762264
2.2901	3.02851	8.07123	6.16994	3.62459	-1.104	-0.820951	-1.69964	0.785595	0.770194	0.23429	0.22507
2.11188	8.05654	6.99747	7.82274	4.10863	-1.60028	-0.637831	-1.87052	0.930636	0.800531	0.269985	0.0757459
8.30732	0.869334	3.6858	2.66626	4.54744	-1.35925	-1.81736	-1.37083	0.581016	0.158075	0.52787	0.375294
2.72752	8.42276	5.80369	0.830778	4.32072	-1.63028	-1.87412	-0.816318	0.480195	0.615761	0.29965	0.0940824
1.46552	6.81838	5.82489	4.31946	3.24768	-0.717693	-1.2973	-1.23269	0.173955	0.850418	0.736384	0.344681
5.05089	7.71677	0.687845	2.60522	3.23589	-1.04334	-0.964965	-1.22759	0.487892	0.966826	0.638772	0.60577
5.46186	6.26033	7.38314	7.51297	3.52177	-0.770593	-1.32091	-1.43026	0.755397	0.264822	0.460972	0.92111
9.71103	2.90994	8.68739	0.708401	3.43463	-1.07874	-1.15659	-1.1993	0.532133	0.659903	0.850556	0.478616
5.78292	4.73144	3.7934	4.18913	4.09347	-1.60499	-1.95023	-0.538256	0.616177	0.553928	0.207029	0.431784
5.218	6.50713	4.03818	1.22986	2.84324	-1.64784	-0.526456	-0.668946	0.391928	0.390967	0.788126	0.214378
6.08315	3.50454	5.42844	4.89477	3.5282	-0.519299	-1.25305	-1.75585	0.84385	0.421851	0.206851	0.237629
7.74578	0.660418	5.03986	5.45511	3.59075	-1.76892	-0.699088	-1.12274	0.611634	0.838269	0.833766	0.431155
5.33263	6.10807	6.19234	2.01947	2.71026	-0.530065	-1.04641	-1.13378	0.940611	0.921425	0.881744	0.811321
3.00056	8.77139	5.12434	5.56785	4.4197	-1.36737	-1.88673	-1.1656	0.681493	0.388942	0.900852	0.788275
3.36711	0.638995	9.24605	8.90186	3.44585	-1.08272	-1.18928	-1.17385	0.230214	0.84026	0.757248	0.816354
0.739782	7.3587	8.89305	2.98079	2.04963	-0.648957	-0.813853	-0.586821	0.482747	0.520432	0.188007	0.920764
5.0542	8.1209	2.48412	4.22976	5.28982	-1.73925	-1.70981	-1.84075	0.19244	0.260271	0.580974	0.608891
5.22455	7.00902	0.540104	3.63274	4.19247	-1.76576	-1.11993	-1.30678	0.0587308	0.879397	0.438292	0.698919
2.48792	8.07287	2.72348	9.39253	2.03879	-0.531655	-0.551349	-0.955789	0.422184	0.837645	0.723408	0.529115
9.8264	1.03313	7.4882	3.2556	3.86349	-1.37117	-1.33924	-1.15308	0.506385	0.435811	0.0684956	0.90166
7.77965	5.67862	8.62904	8.65381	4.34705	-1.59824	-1.04949	-1.69932	0.553115	0.2715	0.610194	0.179195
9.27649	2.38426	6.66182	3.53341	4.39436	-1.2943	-1.27903	-1.82103	0.077615	0.0648685	0.810504	0.523176
8.22654	6.97287	5.18345	5.82247	3.10023	-1.28898	-1.23129	-0.579961	0.362239	0.941877	0.08125	0.946291
2.54593	7.70753	1.0839	3.05901	3.3291	-0.910938	-0.913195	-1.50497	0.109069	0.92288	0.824355	0.407182
0.601779	0.602232	9.65311	4.33934	3.55339	-1.01492	-1.10966	-1.42881	0.56956	0.0927848	0.823766	0.243933
5.03804	2.13299	0.649277	8.08046	4.56922	-1.92649	-1.34953	-1.29321	0.374392	0.805204	0.663108	0.544929
2.55907	8.55828	0.631103	0.851496	2.66462	-1.06991	-0.922865	-0.671844	0.974979	0.166986	0.734651	0.481734
9.83884	2.98872	4.74243	3.36457	2.93323	-1.00874	-1.32009	-0.604395	0.878983	0.161202	0.350805	0.686409
7.37446	9.35522	2.68868	3.97345	3.14514	-1.54243	-0.589756	-1.01296	0.310523	0.103936	0.871683	0.290243
3.57911	4.68069	2.31634	6.61635	4.7971	-1.63926	-1.74503	-1.41281	0.253092	0.137574	0.889215	0.380097
9.9829	1.14694	9.25857	4.72767	4.9234	-1.61534	-1.84902	-1.45905	0.747735	0.57954	0.46893	0.18049
5.51463	9.02833	7.57201	6.15612	4.05042	-1.70417	-1.22219	-1.12407	0.29543	0.0645713	0.323938	0.570903
6.1168	3.94136	2.31641	3.09228	3.88588	-1.73114	-1.50078	-0.653962	0.78069	0.755883	0.600049	0.955691
8.48159	6.13512	5.8129	4.88225	4.42869	-1.46423	-1.47688	-1.48758	0.911421	0.561896	0.517414	0.864818
3.18455	1.66134	1.74379	5.37065	2.40981	-0.726397	-1.06745	-0.615963	0.313814	0.0876821	0.418665	0.653369
1.54186	1.12072	7.77775	2.64132	4.391	-1.38191	-1.23233	-1.77676	0.326855	0.341446	0.320016	0.182357
9.06534	6.07117	7.90777	1.91866	3.53937	-0.973973	-0.746478	-1.81892	0.302748	0.689397	0.93428	0.457119
5.90564	1.47481	8.05634	7.23351	5.68542	-1.90759	-1.82651	-1.95133	0.418733	0.450462	0.964506	0.875102
8.17736	7.82021	8.8041	3.6442	4.00771	-1.00117	-1.37059	-1.63595	0.876219	0.0837128	0.0522605	0.517519
7.97976	5.86259	7.40169	2.63844	2.26199	-0.618754	-0.56465	-1.07858	0.499867	0.117341	0.255947	0.247857
7.92938	2.72686	2.47947	7.03947	2.90339	-1.68475	-0.632887	-0.585753	0.0923043	0.522111	0.721368	0.799566
2.53923	8.61426	5.48879	1.45438	3.66852	-0.740727	-1.78937	-1.13842	0.946594	0.859005	0.690291	0.932368
2.53297	6.7033	8.01183	3.24962	4.27884	-1.38858	-1.45813	-1.43213	0.555314	0.786407	0.513784	0.169981
4.21924	6.06105	8.8723	3.2101	3.94595	-1.67915	-1.01615	-1.25064	0.94831	0.815608	0.721261	0.279098
0.54085	2.55571	3.68271	1.66891	3.35121	-0.970452	-1.43359	-0.947171	0.598609	0.124852	0.367415	0.136953
1.09977	5.99841	6.99013	2.08308	4.50264	-0.894959	-1.63222	-1.97546	0.246435	0.8525	0.528198	0.683599
3.17037	0.977764	5.5047	2.33945	2.76437	-0.99336	-0.84539	-0.925618	0.207161	0.55585	0.146194	0.987806
7.13017	5.29061	6.59398	8.72121	2.73861	-1.16064	-0.713917	-0.864058	0.366762	0.958853	0.102787	0.255981
8.17647	0.860799	7.22414	6.25918	4.39329	-1.47709	-1.76663	-1.14957	0.638819	0.759934	0.19743	0.675226
3.71185	2.03521	5.43586	1.66365	4.92887	-1.84276	-1.77207	-1.31403	0.944965	0.771023	0.850237	0.714448
7.55042	4.56069	3.90598	4.82415	3.55515	-1.08013	-1.13617	-1.33885	0.429723	0.353745	0.398784	0.213334
2.16287	7.04014	8.20073	7.22431	4.73495	-1.50411	-1.28772	-1.94312	0.828353	0.8163	0.623383	0.957439
4.35068	1.12367	5.75813	2.14752	4.04667	-1.15118	-1.90609	-0.989398	0.896503	0.974916	0.963735	0.728361
1.15344	1.29761	5.45861	1.91645	2.49625	-0.731056	-0.730026	-1.03517	0.973104	0.752798	0.0845379	0.194178
7.93598	9.19742	6.00597	2.94886	3.26427	-0.9202	-0.719697	-1.62437	0.69707	0.749622	0.303727	0.235419
9.00952	3.98901	8.32542	4.66737	3.24583	-0.588432	-1.34274	-1.31465	0.841291	0.621901	0.780313	0.321306
2.44304	2.52306	2.53214	3.58715	3.06987	-0.834403	-0.808669	-1.4268	0.173026	0.66599	0.0536847	0.0811755
